영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
ARKO LIVE 뮤지컬 시데레우스,,(주)아이디어랩,,(주)아이디어랩,2021-02-11,개봉영화,장편,한국,14,45431500,3029,25843500,1723,뮤지컬,전체관람가,일반영화
밥정,박혜령,(주)하얀소엔터테인먼트,,(주)엣나인필름,2020-10-07,개봉영화,장편,한국,182,24035840,2988,17639840,2111,다큐멘터리,전체관람가,독립/예술영화
턴: 더 스트릿,임석진,"(주)26컴퍼니,발키리픽처스",,(주)26컴퍼니,2021-03-31,개봉영화,장편,한국,34,16763000,2919,7770000,1236,드라마,12세이상관람가,독립/예술영화
간이역,김정민,유한회사 간이역,,(주)드림팩트엔터테인먼트,2021-02-18,개봉영화,장편,한국,48,24607340,2789,20392270,2254,드라마,12세이상관람가,일반영화
용루각: 비정도시,최상훈,"(주)그노스,꿀잼컴퍼니(주)",,(주)드림팩트엔터테인먼트,2020-12-03,개봉영화,장편,한국,22,16308210,2740,6068750,1024,액션,청소년관람불가,일반영화
트웬티 해커,한현석,(주)도어이앤엠,,(주)도어이앤엠,2021-03-24,개봉영화,장편,한국,74,15435500,2691,6428000,953,액션,15세이상관람가,일반영화
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2020-09-29,개봉영화,장편,한국,106,75541000,2686,32674500,1206,공연,전체관람가,일반영화
국제수사,김봉한,(주)영화사장춘,,(주)쇼박스,2020-09-29,개봉영화,장편,한국,1074,14465000,2552,12352000,2134,코미디,15세이상관람가,일반영화
용루각2: 신들의 밤,최상훈,"(주)그노스,꿀잼컴퍼니(주)",,(주)그노스,2021-02-10,개봉영화,장편,한국,20,14792790,2475,7799180,1302,액션,15세이상관람가,일반영화
젊은이의 양지,신수원,(주)준필름,,(주)리틀빅픽쳐스,2020-10-28,개봉영화,장편,한국,108,20787500,2362,12620800,1433,드라마,15세이상관람가,독립/예술영화
내언니전지현과 나,박윤진,,,호우주의보,2020-12-03,개봉영화,장편,한국,36,19671300,2283,14509030,1583,다큐멘터리,12세이상관람가,독립/예술영화
기기괴괴 성형수,조경훈,"(주)에스에스애니멘트 ,(주)스튜디오 애니멀",,(주)트리플픽쳐스,2020-09-09,개봉영화,장편,한국,276,12985160,1787,5193840,746,공포(호러),15세이상관람가,독립/예술영화
"좋은 빛, 좋은 공기",임흥순,반달,,(주)엣나인필름,2021-04-28,개봉영화,장편,한국,62,13837570,1765,10075100,1251,다큐멘터리,12세이상관람가,독립/예술영화
담쟁이,한제이,"다이노(DIE NO),(주)조이컴퍼니",,(주)트리플픽쳐스,2020-10-28,개봉영화,장편,한국,93,14500140,1696,7738140,851,가족,15세이상관람가,독립/예술영화
찬실이는 복도 많지,김초희,"(주)지이프로덕션,(주)사이드미러",,찬란,2020-03-05,개봉영화,장편,한국,241,14448370,1541,11254570,1100,드라마,전체관람가,독립/예술영화
