,영화명,제작사,전국 관객수,등급,영화구분,흥행,주연배우_흥행비율,director_rank,gr_rank,dis_rank
422,"허황옥 3일, 잃어버린 2천 년의 기억",3,783,2,0,N,0.0,255,16,99
423,인플루엔자,209,760,1,0,N,0.0,257,10,111
424,태어나길 잘했어,170,756,0,0,N,0.0,258,10,90
425,사잇소리,105,670,1,0,N,0.0,286,8,118
426,부적: 남의 운을 빼앗는 자,181,662,0,0,N,0.0,262,4,72
427,영희,246,612,1,0,N,0.0,263,7,126
428,평평남녀,191,607,0,0,N,0.0,100,10,100
429,"괴물, 유령, 자유인",279,551,1,0,N,0.0,270,11,106
430,액션동자,196,546,2,0,N,0.0,271,4,124
431,인연을 긋다,139,533,0,1,N,0.0,273,10,109
432,늑대들,127,510,3,0,N,0.0,276,4,116
433,당신의 이웃은 친절하지 않다,54,459,1,0,N,0.0,281,3,126
434,갓길로 달리는 코뿔소,142,445,1,0,N,0.0,115,10,120
435,보드랍게,0,192,2,0,N,0.0,299,16,127
436,명색이 아프레걸,186,190,2,1,N,0.0,300,15,128
437,스파이형 모델,234,178,1,0,N,0.0,301,11,126
438,헝거,225,163,0,0,N,0.0,302,11,129
439,해적: 도깨비 깃발,76,106,0,1,N,0.1111111111111111,305,18,8
440,하로동선,14,102,1,0,N,0.0,272,10,113
441,고양이들의 아파트,221,97,2,0,N,0.0,308,16,132
442,스텔라,18,68,1,1,N,0.0,312,7,20
443,극장판 안녕 자두야: 제주도의 비밀,210,42,2,1,N,0.0,313,14,6
444,당신얼굴 앞에서,97,18,1,0,N,0.0,207,10,94
445,엄마와 나,182,6,2,0,N,0.0,315,16,124
446,곡녀,168,2,0,0,N,0.0,316,10,109
447,일진 2,150,2,3,1,N,0.0,294,4,124
448,일진 3,115,2,3,1,N,0.0,294,4,124
449,대가리,150,1,3,1,N,0.0,294,4,135
450,대가리2-학교무림,150,1,1,1,N,0.0,294,4,135
451,대가리3-일진후배들,150,1,1,1,N,0.0,294,4,135
